crc,name,game,title
263cb8f9,prom1f.cpu,robowarf,Robo-War (French)
51cd5108,prom1f_fp.cpu,robowffp,Robo-War (French Free Play)
082d64ab,prom2.cpu,excaliba,Excalibur
e8902c16,prom1.cpu,excaliba,Excalibur
a4368cd0,drom1.snd,excaliba,Excalibur
9f194744,yrom1.snd,excaliba,Excalibur
86cf464b,prom1_fp.cpu,excalbfp,Excalibur (Free Play)
49079396,prom2g.cpu,excalibg,Excalibur (German)
504fad7a,prom1g.cpu,excalibg,Excalibur (German)
76d20188,prom1g_fp.cpu,excalgfp,Excalibur (German Free Play)
499e2e41,prom2f.cpu,excalibr,Excalibur (French)
ed1083d7,prom1f.cpu,excalibr,Excalibur (French)
65601620,prom1f_fp.cpu,excalffp,Excalibur (French Free Play)
583933ec,prom2.cpu,badgirls,Bad Girls
956aeae0,prom1.cpu,badgirls,Bad Girls
452dec20,drom1.snd,badgirls,Bad Girls
ab3b8e2d,yrom1.snd,badgirls,Bad Girls
53e05ca7,prom2a.cpu,badgirl2,Bad Girls (alternate set)
07082568,prom1a.cpu,badgirl2,Bad Girls (alternate set)
05e8259b,prom1_fp.cpu,badgrlfp,Bad Girls (Free Play)
55aa30ac,prom2g.cpu,badgirlg,Bad Girls (German)
f2923255,prom1g.cpu,badgirlg,Bad Girls (German)
34a93b4b,prom1g_fp.cpu,badgrgfp,Bad Girls (German Free Play)
58c35099,prom2f.cpu,badgirlf,Bad Girls (French)
9861147a,prom1f.cpu,badgirlf,Bad Girls (French)
32f42091,prom1f_fp.cpu,badgrffp,Bad Girls (French Free Play)
047c8ef5,prom2.cpu,bighouse,Big House
0ecef900,prom1.cpu,bighouse,Big House
f330fd04,drom1.snd,bighouse,Big House
0b1ba1cb,yrom1.snd,bighouse,Big House
8a8510a2,prom1_fp.cpu,bighosfp,Big House (Free Play)
214f0afb,prom2g.cpu,bighousg,Big House (German)
374f3593,prom1g.cpu,bighousg,Big House (German)
8f51d4c3,prom1g_fp.cpu,bighsgfp,Big House (German Free Play)
767efc44,prom2f.cpu,bighousf,Big House (French)
b87150bc,prom1f.cpu,bighousf,Big House (French)
51012001,prom1f_fp.cpu,bighsffp,Big House (French Free Play)
7695c7db,prom2.cpu,hotshots,Hot Shots
122ff4a8,prom1.cpu,hotshots,Hot Shots
42c3cc3d,drom1.snd,hotshots,Hot Shots
2933a80e,yrom1.snd,hotshots,Hot Shots
74c0f7d7,prom1_fp.cpu,hotshtfp,Hot Shots (Free Play)
7e2f0d59,prom2g.cpu,hotshotg,Hot Shots (German)
e07b46ad,prom1g.cpu,hotshotg,Hot Shots (German)
dca0b300,prom1g_fp.cpu,hotshgfp,Hot Shots (German Free Play)
476e260c,prom2f.cpu,hotshotf,Hot Shots (French)
8d74aca7,prom1f.cpu,hotshotf,Hot Shots (French)
dedba56b,prom1f_fp.cpu,hotshffp,Hot Shots (French Free Play)
681643df,prom2.cpu,bonebstr,Bone Busters Inc.
052f97be,prom1.cpu,bonebstr,Bone Busters Inc.
d147d78d,drom2.snd,bonebstr,Bone Busters Inc.
ec43f4e9,drom1.snd,bonebstr,Bone Busters Inc.
a95eedfc,yrom1.snd,bonebstr,Bone Busters Inc.
c5914b1f,prom1_fp.cpu,bonebsfp,Bone Busters Inc. (Free Play)
3b85c8bd,prom2g.cpu,bonebstg,Bone Busters Inc. (German)
a0aab93e,prom1g.cpu,bonebstg,Bone Busters Inc. (German)
0063411b,prom1g_fp.cpu,bonebgfp,Bone Busters Inc. (German Free Play)
73b6486e,prom2f.cpu,bonebstf,Bone Busters Inc. (French)
3d334065,prom1f.cpu,bonebstf,Bone Busters Inc. (French)
5aa1bb17,prom1f_fp.cpu,bonebffp,Bone Busters Inc. (French Free Play)
2ec8bd4c,684d-cpu.rom,amazonh3,Amazon Hunt III (French)
a660f233,684d-snd.rom,amazonh3,Amazon Hunt III (French)
7db1a9a9,684d-cpu_fp.rom,amazn3fp,Amazon Hunt III (French Free Play)
bf4674e1,684d-1-cpu.rom,amazon3a,Amazon Hunt III (rev. 1)
6110c1f0,684d-1-cpu_fp.rom,amaz3afp,Amazon Hunt III (rev. 1 French Free Play)
6199c002,test2.cpu,s80btest,System 80B Test Fixture
032ccbff,test1.cpu,s80btest,System 80B Test Fixture
5d04a6d9,testd.snd,s80btest,System 80B Test Fixture
bd998860,testy.snd,s80btest,System 80B Test Fixture
a2bc00e4,nmovsp2.732,nmoves,Night Moves
36837146,nmovsp1.764,nmoves,Night Moves
90929841,nmovdrom.256,nmoves,Night Moves
cb74a687,nmovyrom.256,nmoves,Night Moves
1cd28cac,prom1_fp.cpu,nmovesfp,Night Moves (Free Play)
